pl_name,habitable

HATS-39 b,CHZ invalid |  Kepler invalid

HATS-4 b,CHZ invalid |  Kepler invalid

HATS-40 b,CHZ invalid |  Kepler invalid

HATS-41 b,CHZ invalid |  Kepler invalid

HATS-42 b,CHZ invalid |  Kepler invalid

HATS-43 b,CHZ invalid |  Kepler invalid

HATS-44 b,CHZ invalid |  Kepler invalid

HATS-45 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-46 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-47 b,CHZ invalid |  Kepler invalid

HATS-48 A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-49 b,CHZ invalid |  Kepler invalid

HATS-5 b,CHZ invalid (not enough data) |  Kepler invalid

